排名,标题,播放量,讨论数,得分,UP的ID,视频av号
72,【法治之光】罗翔教授打动人心的金句,2.6万,62,61915,324930121,BV1uE411375k
73,台湾省有人要心碎了，美国即将诞生第51州，台名嘴心里酸酸的不开心,5.7万,145,61888,31146869,BV1Ht4y197Ac
74,知道这些后 我戒掉了游戏,4.2万,501,61188,165659472,BV1CT4y1J7ku
75,吓哭！廊坊梨园村农夫杀妻剥皮送肉岳父岳母全村人吃！,5.8万,111,60719,321912472,BV1qK411n7eY
76,【粪坑案】名场面！强暴我？劳资给你一砖！,4.8万,190,60113,23220303,BV1V7411L71b
77,直男第一次做手工会发生什么？！,4.7万,443,59775,295723,BV1iC4y187XS
78,一个神仙级别的美式英语发音教程，不刷十遍都亏了！,1.1万,90,59643,593470050,BV1n54y1B7bE
79,法国骇人听闻的囚禁事件，消失的25年发生了什么？【三更研究所】,3.9万,545,57459,78504036,BV1Lz4y1X7qU
80,【戴建业】小学生都会背的《春晓》和《如梦令》，你真的读懂了吗？,3.8万,613,57208,532741557,BV1Ga4y1e7u3
81,【Mo精选】最深度的EVA致敬CG - 导演完全版《EVA超·现实》【正片+幕后】 by SOMEI | C4D制作,1.7万,55,56662,95961527,BV1vt4y197xV
82,【2020法考】罗翔讲刑法（合集）已完结 共96讲 厚大法考,2.2万,520,55630,473673050,BV1dj411f7vb
83,是神的禁令还是永生的终极密码？解开基因密码的我们能治愈绝症吗？-【癌症传】下,3.7万,169,55602,15324420,BV1a5411Y7DU
84,你真的对这个世界做好准备了吗？丨ztalk,2.8万,355,54992,326246517,BV1yv411B7Ga
85,毛主席的气场绝对力压斯大林,4.7万,0,54067,230202560,BV1Yv411B7Nf
86,【建议收藏】将文件伪装成任意图片-文件伪装术,1.4万,13,53140,82363089,BV1Pz411v7o3
87,【才浅手工】两个月打造两把誓约胜利之剑，已用青金石附魔,2.2万,189,52974,2200736,BV14g4y1v7Ks
88,【英文听力练习600句】彻底提高您的英文听力水平,1.0万,170,52871,442056197,BV1Xg4y187KB
89,一个顶七个，这款微软官方应用更新，让你的 Windows 更好用。,2.9万,92,52431,29959830,BV1ot4y197Nf
90,【卧烟社】第48期：西洋之冠——光辉级航空母舰（上）,1.8万,706,52263,330296,BV1Wg4y1v7HB
91,过目不忘！开考前5分钟就能背完的短句（附解析+例句哦）【纸条摘抄】,1.3万,155,51933,236602327,BV1Zk4y1B7bE
92,阅兵次日，普京再炮轰西方：美国投原子弹，日本教科书是咋说的？,5.0万,69,51803,306863985,BV1D54y1i7r4
93,世上有几人能活到这短片结束？,2.4万,757,51288,7428971,BV1z4411Y7tX
94,印度为什么总是要搞我们？,4.1万,311,51020,521052818,BV1p5411Y7Gt
95,【PS教程】终于有一套全面的PS教程啦！从零开始学PS！！,9373,220,49222,86295604,BV187411Z7bx
96,【乌鸦校尉】美国黑人曾距共产主义只有一步之遥？,2.9万,251,49168,521249172,BV1Kv411B7Tw
97,【奇怪的传播学】下行生育率背后的传播学逻辑,2.6万,295,49028,13925422,BV1hV411k7h4
98,国内工资真相！来看看你的收入在哪层？,3.7万,405,48981,497280316,BV165411p7rz
99,4个月吸毒花了几十万，害人的笑气竟然不算毒品，就在身边【禁毒日专题】,2.8万,258,47134,479409514,BV1zK411n72P
100,如何查询自己是否被别人顶替上大学？以及顶替者现在在何处工作？,2.8万,45,46497,283393513,BV1qg4y1v7jQ
