排名,标题,播放量,讨论数,得分,UP的ID,视频av号
81,【怪物翻唱】雷欧奥特曼（重制）主题曲,2.6万,106,39551,18740451,BV1xV41167AB
82,【宣美】新歌《紫光夜》回归showcase舞台,3.6万,133,39144,20213027,BV1Nf4y117Sr
83,这是一首唯一在任何音乐软件都要收费的歌！,2.8万,51,38866,8769148,BV1Et411D7LU
84,aZi Smelly D K.A咔咔 ||《魔动北极星》超清纯享,2.7万,82,38665,10254168,BV1kK411n7rE
85,Like That - Doja Cat&Gucci Mane,2.2万,59,38484,486906719,BV1vC4y187gY
86,女团舞《Psycho》李大辉×崔普闵×黄铉辰×尹产贺 cover,2.3万,116,38433,142372839,BV1Cz411e7nL
87,姐很酷炫，但你不配的YG风翻唱How You Like That,2.6万,45,38140,16355895,BV1iK411n7ZQ
88,MAMAMOO华莎 SOLO-Maria MV（中字）,2.7万,59,37573,82066578,BV1yv411B7fU
89,【4K60FPS】陈奕迅《不如不见》超感人现场！行走的低音炮！,2.0万,35,37458,229733301,BV18K4y1s7zt
90,逮虾户 Deja vu ！中英双字幕MV,2.3万,152,37395,666343,BV18t411D7bT
91,【Live纯享版】乘风破浪首公演出 姐姐们的一公演出现场合集,3.3万,5,37342,5625536,BV1Sk4y1q7aH
92,快来戴上耳机，治愈一下你的心吧！【Lost Flowers翻唱】,1.4万,68,37210,364225566,BV19Z4y1M7Mn
93,【3D MV】シャルイース _Aki Rosenthal【ホロライブ-民族調オリジナル】,8790,110,36980,389857131,BV1CC4y1874x
94,【周杰伦disco】-史上杰伦最强Rap串烧,2.2万,80,36822,328285226,BV1JA411e7r1
95,【MV】辉夜大小姐想让我告白第二季 OP 完整版 鈴木雅之 -『DADDY ! DADDY ! DO ! feat.鈴木愛理』,1.9万,34,36693,225990908,BV1ct4y127iH
96,【王者之歌】王者荣耀·100英雄群像献礼歌《百战成诗》,2.0万,1200,35970,57863910,BV1ok4y1r7Cq
97,【陈以桐】听说b站百分之八十的人都听过这首歌？《best friend》（补投）,1.8万,208,35169,615807752,BV1Bz4y1X7NJ
98,这首歌我听哭了 果宝特攻告诉你买房多心酸,2.5万,41,34407,34704277,BV1MZ4y1p7k4
99,【宣美】200630《紫光夜》SHOWCASE官方舞台公开！,3.0万,124,34123,38721726,BV1XT4y1J7en
100,【蔡依林】节目组错放原音 可是老娘就是要真唱真跳,3.3万,19,34010,438986368,BV1W5411W74K
