排名,标题,播放量,讨论数,得分,UP的ID,视频av号
31,18岁在清华相遇，7年后我们结婚生子，校园爱情毕业不分手。,80.1万,5293,1102711,489206287,BV1n5411Y76p
32,？？？？？,86.1万,469,1048949,7560829,BV1z54y1B7af
33,【Pamela Reif】魔鬼帕梅拉10分钟初学者腹部训练，新手姐妹也能跟得上啦！,39.3万,2617,1035193,34044873,BV1o7411E71J
34,当代网络现状,77.6万,1933,1026584,22353887,BV1ja4y1v7FJ
35,“你没穷过，你不懂”,79.9万,2718,1016486,519392580,BV1GV411k7Zd
36,第一视角！猫头装相机拍一天，看完我不做人辣！！！【花花与三猫】,96.6万,9362,1009931,9008159,BV1RK411n7EV
37,妻子车祸当场丧生，丈夫不愿独活走入燃烧的车里殉情,136.5万,6464,1002874,496114668,BV1ta4y1Y765
38,印度人“抵制中国”上推特热搜，结果被中国商人收割智商税  印度网友：禁止套娃！！,215.3万,7446,988004,501183549,BV1gz4y1X7ii
39,妈妈知道我怕鬼，所以她走后从来没来过我梦里,83.9万,1553,987799,480366389,BV1c54y1z7LA
40,吃了两星期豆腐，废了几十斤豆子，豆腐脑终于可以出摊了~【街头美食在家做】,75.9万,8109,987646,3334179,BV1Rt4y1X79C
41,这粽子是什么神仙颜值？里面藏了一整只花也太美了吧！,89.5万,3956,955758,17409016,BV1tg4y1v7K2
42,从抵制中国制造到中国手机在印度脱销——印度封国的第九十一天,145.6万,1.3万,954176,300159010,BV1qv411B7js
43,50元和2000元的猫有啥区别？2000的逐渐同化！,78.3万,3194,948349,4779198,BV1WT4y1J71T
44,舞 蹈 蹦 蹦 蹦,82.1万,8753,944208,2689967,BV1Uk4y1z7St
45,男人的快乐可以有多简单1,130.6万,388,936013,381983587,BV1i54y1D7sw
46,【塔罗占卜】你的期末考试成绩到底如何？评论留言：逢考必过√,27.7万,7.2万,933347,445310488,BV1iz4y1Q7DU
47,建议保送清华,165.2万,1814,924910,6644646,BV1Ft4y1972e
48,现实中复刻大司马反物理学进球！难度有多高？,120.2万,6915,913885,125526,BV19p4y1U76R
49,我让小仙若心动了！,144.8万,3.4万,903408,808171,BV1pi4y1G7zd
50,5斤鸡腿做韩式炸鸡腿，帅小伙做了满满两大盘吃着太过瘾了！,137.4万,1.5万,879795,337521240,BV1sA411i7d9
51,【熊猫】熊人族，永不为奴,90.6万,1316,854307,550994461,BV1sV411k74S
52,女生必看！私处护理3大坑！有异味？颜色黑？妇科病？,47.8万,2130,851452,450595813,BV1WT4y177Pt
53,中 国 新 说 唱 总 决 赛 第二季,72.4万,938,840239,342578985,BV14a4y1v7Mx
54,【作文】那些写进作文里的神仙开头,20.9万,214,840115,23177427,BV1Ea4y147ye
55,【不要笑挑战】笑到吐！吃饭时慎入！根本憋不住！,75.1万,2.1万,818014,26240675,BV1Ji4y1G7pN
56,【朱一旦】201 金钱到底能够带来什么？,201.4万,2507,817243,437316738,BV1Vg4y1v7bq
57,"漂亮的皮囊千篇一律,有趣的灵魂万里挑一",119.8万,388,816069,271400112,BV1xa4y1Y7Qs
58,撸猫一时爽,138.6万,612,815932,3853976,BV1vf4y1y7rs
59,一句话惹毛一种职业。,87.4万,3280,806579,35147507,BV1iz411e71U
60,“这是我爸”“爸！”,148.6万,3321,803609,330383888,BV1KK411H7SV
61,11周年彩排，周深怒摔手卡,108.1万,1.4万,803185,12076317,BV1Yi4y1x7nv
62,我一定要烧宁波大学,133.0万,434,798005,14530828,BV1fC4y1a7jW
63,陪 我 玩！,69.1万,999,796715,36131332,BV19D4y1D7CT
64,这个喷嚏声音有点奇怪,57.8万,542,779226,17487861,BV1CQ4y1P7rr
65,你的刑侦智商有多高？,61.5万,8427,778718,471792754,BV1sT4y1J7rJ
66,在英国跟大姑连麦 隔空做巨大肉龙！空口吃肉 超香！,66.7万,1.8万,775679,26139491,BV1mK4y1471Z
67,这么完美的男人确实很难遇到,93.8万,1187,771764,344677344,BV1HC4y1a7BN
68,4大勺糯米2大块肉，连吃几个都嫌不够,67.7万,3721,768879,18202105,BV1Jt4y197Ht
69,试吃对比价格相差20倍的潮汕大响螺和普通大海螺有什么区别？,142.9万,1.3万,759690,2920960,BV1DT4y1J7gS
70,大憨憨：我发誓这一定是我最后一次洗澡！,135.6万,2316,756381,10330740,BV1ua4y1e7ky
71,看完整个人都扭曲了……,77.8万,3802,755955,421848021,BV1JV411679S
72,华农兄弟：听说兄弟在割蜂蜜，去帮一下忙，顺便搞点来尝一下,143.7万,1.8万,753584,250858633,BV18T4y177RM
73,情 侣 旅 游 现 状,99.7万,1.8万,748087,113362335,BV1eT4y177iV
74,拼多多0元砍到华为手机送给大家，标价2020元，分享成功经验！,76.2万,1.5万,746526,438880209,BV1TZ4y1p7Nr
75,书    记    舞,80.2万,2725,739398,255200321,BV1wv411B7qW
76,大sao买三斤猪肉，做铁板五花粽，蘸辣椒吃大蒜，挑战新吃法,128.9万,1.4万,731269,390461123,BV1mf4y1171e
77,就喜欢这种长得好看还没脑子的,96.3万,1380,729457,43979779,BV1Bz4y1X7FC
78,逻   辑   鬼   才  ！ ！ ！,124.4万,811,728906,293441453,BV1va4y1Y7G6
79,吸毒明星为什么不可以复出,65.9万,2751,722651,350001797,BV1ED4y1S7QS
80,好家伙，三十秒秀了我四五次！,92.9万,355,722542,226046030,BV1Yt4y1y7yv
81,弟弟近期动态,56.1万,1520,719546,13390535,BV1Mf4y1m7Jb
82,【互动视频】100%算中你的年龄！,44.7万,6840,715477,295156493,BV1eA411q7C6
83,手打20000下，一斤猪肉做成700张皮，肉包肉你吃过吗？,60.1万,2396,714815,3218685,BV12t4y197jn
84,地表最强炒鸡蛋,73.8万,989,714247,12295034,BV1sQ4y1N7Fp
85,特朗普被黑人撞飞的视频曝光！全程高能！！！,95.9万,2260,709122,412803659,BV1ZZ4y1n7uD
86,广 东 普 通 话 有 多 烫 嘴,78.2万,379,709120,21083035,BV1Uf4y1y7eH
87,所有人期待的（杀破狼）巷战他来了！干！干！干！,59.8万,1371,708272,355390214,BV1jT4y177zf
88,这位同学醒来后多尴尬啊！,206.2万,208,705789,25229500,BV12k4y1z7ta
89,新闻联播失误集锦（搞笑向）,49.5万,2433,704764,291420885,BV1r7411M7Pu
90,阴 间 料 理！喝完碗孟婆汤能忘记那个她吗？,52.7万,1342,703487,488289175,BV13K4y147v6
