视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV15V41167cN,清风子疯子,81,322632,310106,可 能 要 瘦 了,26,转载
BV1xD4y1Q7uu,食贫道,16026,176113,291037,北京三环里的苍蝇摊烤串，大号羊肉串肉筋现烤5元一串，新疆人吃了都说好！,3390,原创
BV1h5411Y7HP,观察者网,390,288093,278679,你的小可爱已上线？那些被熊孩子支配的恐惧,450,原创
BV14p4y1U7rk,文西与阿漆,3672,246543,278496,【黑娃兄弟】如果丧尸也种族歧视？美利坚成黑人天堂,465,原创
BV1Zv411B753,宇澄小哥,519,288086,273219,要不是被拍下来了，我可能永远都不知道发生了什么…,215,原创
BV1Z54y1i7oQ,趣测酱,5422,176803,269679,你哪方面的欲望最强？,3303,原创
BV1hf4y117Ts,可爱得要死嘞,11,291470,267770,【李佳琦】摘掉假发秒变张东升 李佳琦：“明天一起去爬山吗？”,98,转载
BV17k4y1z7mn,星晴dj,57,275999,267143,女朋友体验卡,20,转载
BV1N5411Y7gb,长得像美食博主的女人,1443,171561,262163,腾讯老干妈火腿炒面！真的比那些超多料的炒面好吃很多，搭配老干妈鸡腿,338,原创
BV1Nv411z7Ls,摆货小天才,2097,247432,255422,第一次去女朋友家，送点什么给未来岳父好呢？,355,原创
BV1yC4y187UJ,-不会吧阿sir,349,215686,249850,欺负别的狗被主人看到后,64,原创
